region,site,subsite,longitude,latitude,date_set,date_recovered,crop_type,crop_stage,biomass_comments,burrow_effort,burrow_total,burrow_comments
CIA,Community Farm,Comm Farm,145.950979,-34.74063,2012-10-30,2012-10-31,wheat,flowering,NA,100,0,Soil wet no cracks One entrence marked probably a cricket
CIA,David Bellato,DBela,145.896168,-34.804647,2012-10-30,2012-10-31,wheat,flowering,NA,100,0,Soil dry with large cracks.
CIA,Ian Southerland,Ian South 1,145.767316,-34.901548,2012-10-30,2012-10-31,wheat,flowering,NA,100,0,no burrows detected
CIA,Shane Fraser,Shane Fras 1,145.987013,-34.949088,2012-10-30,2012-10-31,wheat,flowering,NA,100,0,No burrows detected
Northern Mallee,Colin Beer,CBee,141.293619,-35.231295,2012-11-01,2012-11-02,wheat,flowering,NA,100,0,No burrows marked sandy soil with some rocks
Northern Mallee,David Allen,DAlle,141.194131,-35.271539,2012-11-01,2012-11-02,wheat,ripening/ripe,NA,100,0,No burrows marked sandy soil
Northern Mallee,Jack Pryse,JPryse,141.948382,-35.152942,2012-11-01,2012-11-02,rye,ripening/ripe,NA,100,0,3 holes marked none active
Northern Mallee,Jim Wakefield,JW1StubFence,142.021747,-35.098249,2012-11-01,2012-11-02,wheat,stubble,NA,100,0,"19 burrows marked all inactive, no sign of mouse activity"
Northern Mallee,Jim Wakefield,JW1StubPad,142.021747,-35.098249,2012-11-01,2012-11-02,wheat,stubble,NA,100,0,One burrow marked inactive soil soft sand no cracks
Northern Mallee,Jim Wakefield,JW2Crop,142.021747,-35.098249,2012-11-01,2012-11-02,wheat,ripening/ripe,NA,100,0,Soil soft sandy no cracks no sign of mice
Northern Mallee,Jim Wakefield,JW2Edge,142.021747,-35.098249,2012-11-01,2012-11-02,wheat,ripening/ripe,NA,100,0,"Soil soft sandy, no cracks no sign of mouse activity"
Northern Mallee,Robert McKee,RMcK,141.363881,-35.262963,2012-11-01,2012-11-02,wheat,ripening/ripe,NA,100,0,No burrows marked
Northern Mallee,Trent Oakley,TOak,140.984085,-35.233253,2012-11-01,2012-11-02,wheat,ripening/ripe,NA,100,0,No burrows marked. Sandy soil with some rocks
Wimmera,Bernard Lindsay,BLind,142.480923,-36.183518,2012-11-04,2012-11-05,wheat,ripening/ripe,NA,100,0,maybe one burrow but not clear if active.
Wimmera,Brad Martin,BMart,142.490208,-36.070879,2012-11-04,2012-11-05,wheat,ripening/ripe,NA,100,0,some small cracks no sign of burrows
Wimmera,Coree McFarlan,CMcF,142.4042,-36.27795,2012-11-04,2012-11-05,wheat,ripening/ripe,NA,100,0,Some small cracks no sign of mice
Wimmera,Gavin Pulse,GPuls,142.314913,-36.632039,2012-11-04,2012-11-05,wheat,ripening/ripe,NA,100,0,"No sign of burrows, some cracks"
Wimmera,Glen Hose,GHos,142.421377,-35.893295,2012-11-04,2012-11-05,wheat,ripening/ripe,NA,100,0,small cracks no sign of mice
Wimmera,Greg Ruwoldt,GRuw,142.356328,-36.515782,2012-11-04,2012-11-05,wheat,ripening/ripe,NA,100,0,No cracks lighter soil no burrows
