north_south,region,site,subsite,longitude,latitude,date_start_session,date_end_session,session_length_days,crop_type,crop_stage,trap_type,date,survey_night,traps_set,phantoms,traps_night,mice_night,glm,trap_location_x,trap_location_y,individual_id,class,ear_mark,fate,sex,age,weight_g,length_mm,vagina,teats,pregnant,uterus,uterus_scars,embryos,embryo_length,testis,breeding_status
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-24,1,25,0,25,3,NA,NA,NA,NA,first_capture,NA,released,female,Juvenile,11,65,closed_membrane,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-24,1,25,0,25,3,NA,NA,NA,NA,first_capture,NA,released,male,,15,85,NA,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-24,1,25,0,25,3,NA,NA,NA,NA,first_capture,NA,released,male,,11,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/2,151.257,-27.541,2013-09-24,2013-09-26,3,mown road verge (recent),n/a,snapback,2013-09-24,1,10,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-25,2,25,1,24,2,NA,NA,NA,NA,first_capture,NA,released,male,,11,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-25,2,25,1,24,2,NA,NA,NA,NA,first_capture,NA,released,female,Juvenile,12,75,closed_membrane,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/2,151.257,-27.541,2013-09-24,2013-09-26,3,mown road verge (recent),n/a,snapback,2013-09-25,2,10,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-26,3,25,0,25,5,NA,NA,NA,NA,first_capture,NA,released,male,,10,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-26,3,25,0,25,5,NA,NA,NA,NA,first_capture,NA,released,male,,13,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-26,3,25,0,25,5,NA,NA,NA,NA,first_capture,NA,dead_to_lab,female,Mature,12,75,perforate_large,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-26,3,25,0,25,5,NA,NA,NA,NA,first_capture,NA,released,male,,11,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
north,Downs Central,1 & 2,1 & 2/1,151.257,-27.541,2013-09-24,2013-09-26,3,wheat,in head,elliott,2013-09-26,3,25,0,25,5,NA,NA,NA,NA,first_capture,NA,released,male,,9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA
