"","RD","FARM","YR","JUL","DAY","TREAT","WOS","GLM","AREA","HAB","STUB","XCO","YCO","MOUSE","SX","V","T","P","WGT","LTH","FL","CL","FA","CN","FAEC","PH"
"1",20,212,1,334,1,1,167,1,1,40,0,2,1,NA,1,NA,NA,NA,147,80,NA,1,1,1,NA,NA
"2",20,212,1,334,1,1,167,1,1,40,0,3,1,NA,2,2,1,1,190,86,NA,1,1,1,NA,NA
"3",20,212,1,334,1,1,167,2,2,34,0,2,8,NA,2,2,2,1,152,84,NA,1,1,1,NA,NA
"4",20,212,1,335,2,1,167,1,1,40,0,5,2,NA,2,3,1,1,145,72,NA,1,1,1,NA,NA
"5",20,1,1,336,1,1,167,1,1,40,0,2,4,NA,1,NA,NA,NA,160,84,NA,1,1,1,NA,NA
"6",20,1,1,336,1,1,167,1,1,40,0,3,1,NA,1,NA,NA,NA,170,87,NA,1,1,1,NA,NA
"7",20,1,1,336,1,1,167,1,1,40,0,3,5,NA,2,2,3,1,190,85,NA,1,1,1,NA,NA
"8",20,1,1,336,1,1,167,1,1,40,0,4,1,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"9",20,1,1,336,1,1,167,1,1,40,0,5,4,NA,1,NA,NA,NA,180,88,NA,1,1,1,NA,NA
"10",20,1,1,336,1,1,167,1,1,40,0,4,4,NA,1,NA,NA,NA,145,81,NA,1,1,1,NA,NA
"11",20,1,1,336,1,1,167,1,1,40,0,5,1,NA,2,2,2,2,151,81,NA,1,1,1,NA,NA
"12",20,1,1,336,1,1,167,1,1,40,0,6,1,NA,2,3,2,1,210,95,NA,1,1,1,NA,NA
"13",20,1,1,336,1,1,167,2,2,23,0,1,8,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"14",20,1,1,337,2,1,167,1,1,40,0,6,5,NA,1,NA,NA,NA,130,81,NA,1,1,1,NA,NA
"15",20,1,1,337,2,1,167,1,1,40,0,5,4,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"16",20,1,1,337,2,1,167,1,1,40,0,5,5,NA,1,NA,NA,NA,195,91,NA,1,1,1,NA,NA
"17",20,1,1,337,2,1,167,1,1,40,0,5,1,NA,1,NA,NA,NA,0,0,NA,2,1,2,NA,NA
"18",20,1,1,337,2,1,167,1,1,40,0,3,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"19",19,192,1,295,1,1,162,1,1,42,0,5,2,NA,1,NA,NA,NA,175,86,NA,1,1,1,NA,NA
"20",19,192,1,295,1,1,162,1,1,42,0,6,2,NA,2,2,2,2,200,90,NA,1,1,1,NA,NA
"21",19,192,1,295,1,1,162,1,1,42,0,3,1,NA,2,3,2,1,190,85,NA,1,1,1,NA,NA
"22",19,192,1,296,2,1,162,1,1,42,0,1,1,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"23",19,192,1,296,2,1,162,1,1,42,0,1,5,NA,2,2,1,1,121,75,NA,1,1,1,NA,NA
"24",19,192,1,296,2,1,162,1,1,42,0,2,5,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"25",19,192,1,296,2,1,162,1,1,42,0,2,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"26",19,192,1,296,2,1,162,1,1,42,0,2,1,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"27",19,192,1,296,2,1,162,1,1,42,0,3,1,NA,1,NA,NA,NA,115,75,NA,1,1,1,NA,NA
"28",19,192,1,296,2,1,162,1,1,42,0,3,2,NA,2,2,2,1,182,87,NA,1,1,1,NA,NA
"29",19,192,1,296,2,1,162,1,1,42,0,3,3,NA,2,2,2,1,185,89,NA,1,1,1,NA,NA
"30",19,192,1,296,2,1,162,1,1,42,0,3,4,NA,2,2,2,1,195,92,NA,1,1,1,NA,NA
"31",19,192,1,296,2,1,162,1,1,42,0,5,2,NA,2,2,2,1,210,90,NA,1,1,1,NA,NA
"32",19,192,1,296,2,1,162,1,1,42,0,5,3,NA,2,2,1,1,170,85,NA,1,1,1,NA,NA
"33",19,192,1,296,2,1,162,1,1,42,0,5,4,NA,2,2,1,1,185,88,NA,1,1,1,NA,NA
"34",19,192,1,296,2,1,162,2,2,80,0,2,1,NA,1,NA,NA,NA,145,80,NA,1,1,1,NA,NA
"35",19,192,1,296,2,1,162,2,3,8,0,1,13,NA,2,2,1,1,98,73,NA,1,1,1,NA,NA
"36",19,192,1,296,2,1,162,2,4,80,0,2,9,NA,1,NA,NA,NA,130,78,NA,1,1,1,NA,NA
"37",20,1,1,337,2,1,167,2,2,23,0,1,10,NA,2,2,2,2,265,91,NA,1,1,1,NA,NA
"38",20,1,1,337,2,1,167,2,2,23,0,1,11,NA,2,2,2,1,195,82,NA,1,1,1,NA,NA
"39",20,1,1,337,2,1,167,2,2,23,0,1,13,NA,2,4,2,1,195,93,NA,1,1,1,NA,NA
"40",20,1,1,337,2,1,167,2,3,49,0,5,1,NA,1,NA,NA,NA,145,81,NA,1,1,1,NA,NA
"41",20,1,1,337,2,1,167,2,3,49,0,4,6,NA,1,NA,NA,NA,180,88,NA,1,1,1,NA,NA
"42",20,1,1,337,2,1,167,2,3,49,0,1,5,NA,1,NA,NA,NA,120,78,NA,1,1,1,NA,NA
"43",20,1,1,337,2,1,167,2,3,49,0,2,5,NA,1,NA,NA,NA,120,76,NA,1,1,1,NA,NA
"44",20,1,1,337,2,1,167,2,3,49,0,1,2,NA,2,3,2,2,200,90,NA,1,1,1,NA,NA
"45",20,1,1,337,2,1,167,2,4,80,0,1,1,NA,2,2,3,2,275,85,NA,1,1,1,NA,NA
"46",20,1,1,337,2,1,167,2,4,80,0,1,3,2,1,1,1,70,69,NA,NA,1,1,1,NA,NA
"47",20,1,1,337,2,1,167,2,4,80,0,2,3,NA,2,1,1,1,90,69,NA,1,1,1,NA,NA
"48",20,1,1,337,2,1,167,2,4,80,0,1,4,NA,1,NA,NA,NA,90,72,NA,1,1,1,NA,NA
"49",20,1,1,337,2,1,167,2,4,80,0,1,5,NA,1,NA,NA,NA,170,86,NA,1,1,1,NA,NA
"50",20,1,1,337,2,1,167,2,4,80,0,2,6,NA,1,NA,NA,NA,125,76,NA,1,1,1,NA,NA
"51",20,1,1,337,2,1,167,2,4,80,0,1,6,NA,1,NA,NA,NA,65,65,NA,1,1,1,NA,NA
"52",20,1,1,337,2,1,167,2,4,80,0,1,7,NA,1,NA,NA,NA,NA,86,NA,1,1,1,NA,NA
"53",20,1,1,337,2,1,167,2,4,80,0,1,8,NA,2,1,1,1,120,78,NA,1,1,1,NA,NA
"54",20,1,1,337,2,1,167,2,4,80,0,1,9,NA,1,NA,NA,NA,140,85,NA,1,1,1,NA,NA
"55",19,212,1,295,1,1,162,1,1,43,0,2,1,NA,2,2,1,1,130,70,NA,1,1,1,NA,NA
"56",19,212,1,295,1,1,162,1,1,43,0,1,5,NA,1,NA,NA,NA,175,82,NA,1,1,1,NA,NA
"57",19,212,1,295,1,1,162,1,1,43,0,1,3,NA,1,NA,NA,NA,135,80,NA,1,1,1,NA,NA
"58",19,212,1,295,1,1,162,1,1,43,0,1,2,NA,1,NA,NA,NA,140,82,NA,1,1,1,NA,NA
"59",19,212,1,295,1,1,162,1,1,43,0,6,4,NA,1,NA,NA,NA,NA,82,NA,1,1,1,NA,NA
"60",19,212,1,295,1,1,162,1,1,43,0,5,5,NA,1,NA,NA,NA,NA,86,NA,1,1,1,NA,NA
"61",19,212,1,295,1,1,162,1,1,43,0,6,5,NA,1,NA,NA,NA,135,NA,NA,1,2,1,NA,NA
"62",19,212,1,295,1,1,162,1,1,43,0,2,5,NA,1,NA,NA,NA,120,78,NA,1,1,1,NA,NA
"63",19,212,1,295,1,1,162,1,1,43,0,1,5,NA,1,NA,NA,NA,118,75,NA,1,1,1,NA,NA
"64",19,212,1,295,1,1,162,1,1,43,0,1,3,NA,2,2,1,1,120,78,NA,1,1,1,NA,NA
"65",19,212,1,295,1,1,162,1,1,43,0,3,3,NA,1,NA,NA,NA,151,82,NA,1,1,1,NA,NA
"66",19,212,1,295,1,1,162,1,1,43,0,4,3,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"67",19,212,1,295,1,1,162,1,1,43,0,5,3,NA,2,2,1,1,115,73,NA,1,1,1,NA,NA
"68",19,212,1,295,1,1,162,1,1,43,0,6,3,NA,2,2,3,1,235,90,NA,1,1,1,NA,NA
"69",19,212,1,295,1,1,162,1,1,43,0,2,3,NA,1,NA,NA,NA,153,78,NA,1,1,1,NA,NA
"70",19,212,1,295,1,1,162,2,3,8,0,2,1,NA,2,2,1,1,130,83,NA,1,1,1,NA,NA
"71",19,212,1,295,1,1,162,2,3,8,0,2,5,NA,1,NA,NA,NA,115,75,NA,1,1,1,NA,NA
"72",19,212,1,295,1,1,162,2,4,80,0,1,7,NA,1,NA,NA,NA,95,74,NA,1,1,1,NA,NA
"73",19,212,1,295,1,1,162,2,4,80,0,2,15,NA,1,NA,NA,NA,110,76,NA,1,1,1,NA,NA
"74",19,212,1,296,2,1,162,2,2,80,0,1,11,NA,2,1,1,1,115,76,NA,1,1,1,NA,NA
"75",19,212,1,296,2,1,162,2,2,80,0,2,11,NA,2,2,2,1,150,82,NA,1,1,1,NA,NA
"76",19,212,1,296,2,1,162,2,2,80,0,1,10,NA,1,NA,NA,NA,145,80,NA,1,1,1,NA,NA
"77",19,212,1,296,2,1,162,2,2,80,0,2,10,NA,1,NA,NA,NA,155,85,NA,1,1,1,NA,NA
"78",19,212,1,296,2,1,162,2,2,80,0,2,9,NA,1,NA,NA,NA,165,83,NA,1,1,1,NA,NA
"79",19,212,1,296,2,1,162,2,2,80,0,1,7,NA,1,NA,NA,NA,180,84,NA,1,1,1,NA,NA
"80",19,212,1,296,2,1,162,2,2,80,0,2,7,NA,2,1,1,1,110,78,NA,1,1,1,NA,NA
