"","RD","FARM","YR","JUL","DAY","TREAT","WOS","GLM","AREA","HAB","STUB","XCO","YCO","PERC"
"1",1,9,98,259,1,1,1,2,4,80,NA,1,1,5
"2",1,9,98,259,1,1,1,2,3,57,NA,1,6,10
"3",1,9,98,259,1,1,1,2,3,57,NA,1,17,3
"4",1,9,98,259,1,1,1,2,3,57,NA,1,18,16
"5",1,9,98,259,1,1,1,2,3,57,NA,1,19,8
"6",1,9,98,259,1,1,1,2,3,57,NA,1,20,27
"7",1,9,98,259,1,1,1,2,2,80,NA,2,18,21
"8",1,9,98,259,1,1,1,2,2,80,NA,2,10,7
"9",1,9,98,259,1,1,1,2,2,80,NA,2,9,2
"10",1,9,98,259,1,1,1,2,2,80,NA,2,6,3
"11",1,9,98,259,1,1,1,2,2,80,NA,2,5,8
"12",1,9,98,259,1,1,1,2,2,80,NA,2,4,6
"13",1,9,98,259,1,1,1,2,2,80,NA,1,2,1
"14",1,9,98,259,1,1,1,2,2,80,NA,1,3,16
"15",1,9,98,259,1,1,1,2,2,80,NA,1,16,4
"16",1,9,98,259,1,1,1,2,2,80,NA,1,10,48
"17",1,9,98,259,1,1,1,2,2,80,NA,1,11,10
"18",1,9,98,259,1,1,1,2,2,80,NA,1,12,4
"19",1,9,98,259,1,1,1,1,1,40,NA,4,6,8
"20",1,9,98,259,1,1,1,1,1,40,NA,3,6,7
"21",1,9,98,259,1,1,1,1,1,40,NA,2,6,53
"22",1,9,98,259,1,1,1,1,1,40,NA,1,5,5
"23",1,9,98,259,1,1,1,1,1,40,NA,2,5,2
"24",1,9,98,259,1,1,1,1,1,40,NA,3,5,2
"25",1,9,98,259,1,1,1,1,1,40,NA,5,5,3
"26",1,9,98,259,1,1,1,1,1,40,NA,6,5,3
"27",1,9,98,259,1,1,1,1,1,40,NA,6,4,4
"28",1,9,98,259,1,1,1,1,1,40,NA,3,4,9
"29",1,9,98,259,1,1,1,1,1,40,NA,1,4,3
"30",1,9,98,259,1,1,1,1,1,40,NA,1,3,30
"31",1,9,98,259,1,1,1,1,1,40,NA,2,3,6
"32",1,9,98,259,1,1,1,1,1,40,NA,3,3,4
"33",1,9,98,259,1,1,1,1,1,40,NA,4,3,9
"34",1,9,98,259,1,1,1,1,1,40,NA,6,2,5
"35",1,9,98,259,1,1,1,1,1,40,NA,5,2,5
"36",1,9,98,259,1,1,1,1,1,40,NA,3,2,7
"37",1,9,98,259,1,1,1,1,1,40,NA,1,2,2
"38",1,9,98,259,1,1,1,1,1,40,NA,1,1,10
"39",1,9,98,259,1,1,1,1,1,40,NA,2,1,6
"40",1,9,98,259,1,1,1,1,1,40,NA,3,1,22
"41",1,9,98,259,1,1,1,1,1,40,NA,4,1,15
"42",1,9,98,259,1,1,1,1,1,40,NA,6,1,12
"43",1,9,98,260,2,1,1,2,4,80,NA,1,1,12
"44",1,9,98,260,2,1,1,2,4,80,NA,2,11,10
"45",1,9,98,260,2,1,1,2,3,57,NA,1,6,12
"46",1,9,98,260,2,1,1,2,3,57,NA,1,16,5
"47",1,9,98,260,2,1,1,2,3,57,NA,1,17,70
"48",1,9,98,260,2,1,1,2,3,57,NA,1,18,24
"49",1,9,98,260,2,1,1,2,3,57,NA,1,19,23
"50",1,9,98,260,2,1,1,2,2,80,NA,1,1,3
"51",1,9,98,260,2,1,1,2,2,80,NA,1,2,2
"52",1,9,98,260,2,1,1,2,2,80,NA,1,3,50
"53",1,9,98,260,2,1,1,2,2,80,NA,1,5,5
"54",1,9,98,260,2,1,1,2,2,80,NA,1,6,10
"55",1,9,98,260,2,1,1,2,2,80,NA,1,10,10
"56",1,9,98,260,2,1,1,2,2,80,NA,1,11,10
"57",1,9,98,260,2,1,1,2,2,80,NA,1,12,4
"58",1,9,98,260,2,1,1,2,2,80,NA,1,15,7
"59",1,9,98,260,2,1,1,2,2,80,NA,2,18,4
"60",1,9,98,260,2,1,1,2,2,80,NA,2,16,8
"61",1,9,98,260,2,1,1,2,2,80,NA,2,10,46
"62",1,9,98,260,2,1,1,2,2,80,NA,2,9,3
"63",1,9,98,260,2,1,1,2,2,80,NA,2,8,9
"64",1,9,98,260,2,1,1,2,2,80,NA,2,6,5
"65",1,9,98,260,2,1,1,2,2,80,NA,2,5,11
"66",1,9,98,260,2,1,1,2,2,80,NA,2,4,13
"67",1,9,98,260,2,1,1,2,2,80,NA,2,3,16
"68",1,9,98,260,2,1,1,1,1,40,NA,1,1,16
"69",1,9,98,260,2,1,1,1,1,40,NA,1,4,8
"70",1,9,98,260,2,1,1,1,1,40,NA,1,5,10
"71",1,9,98,260,2,1,1,1,1,40,NA,1,6,4
"72",1,9,98,260,2,1,1,1,1,40,NA,2,4,12
"73",1,9,98,260,2,1,1,1,1,40,NA,2,2,2
"74",1,9,98,260,2,1,1,1,1,40,NA,3,1,24
"75",1,9,98,260,2,1,1,1,1,40,NA,3,2,15
"76",1,9,98,260,2,1,1,1,1,40,NA,3,4,14
"77",1,9,98,260,2,1,1,1,1,40,NA,3,6,35
"78",1,9,98,260,2,1,1,1,1,40,NA,4,2,22
"79",1,9,98,260,2,1,1,1,1,40,NA,4,3,16
"80",1,9,98,260,2,1,1,1,1,40,NA,4,4,7
"81",1,9,98,260,2,1,1,1,1,40,NA,4,6,13
"82",1,9,98,260,2,1,1,1,1,40,NA,5,6,3
"83",1,9,98,260,2,1,1,1,1,40,NA,5,5,8
"84",1,9,98,260,2,1,1,1,1,40,NA,5,3,1
"85",1,9,98,260,2,1,1,1,1,40,NA,5,1,21
"86",1,9,98,260,2,1,1,1,1,40,NA,6,3,20
"87",1,9,98,260,2,1,1,1,1,40,NA,6,6,12
"88",1,9,98,260,2,1,1,1,1,40,NA,7,6,6
"89",1,9,98,260,2,1,1,1,1,40,NA,7,5,3
"90",1,9,98,260,2,1,1,1,1,40,NA,7,4,17
"91",1,9,98,260,2,1,1,1,1,40,NA,7,1,11
"92",1,38,98,266,1,1,1,2,2,84,NA,1,1,5
"93",1,38,98,266,1,1,1,2,2,84,NA,2,1,15
"94",1,38,98,266,1,1,1,2,2,84,NA,2,2,10
"95",1,38,98,266,1,1,1,2,2,84,NA,2,3,9
"96",1,38,98,266,1,1,1,2,2,84,NA,1,3,38
"97",1,38,98,266,1,1,1,2,2,84,NA,1,6,22
"98",1,38,98,266,1,1,1,2,2,84,NA,1,7,18
"99",1,38,98,266,1,1,1,2,2,84,NA,1,8,78
"100",1,38,98,266,1,1,1,2,2,84,NA,2,8,23
"101",1,38,98,266,1,1,1,2,2,84,NA,2,9,66
"102",1,38,98,266,1,1,1,2,2,84,NA,1,9,10
"103",1,38,98,266,1,1,1,2,2,84,NA,2,10,8
"104",1,38,98,266,1,1,1,2,2,84,NA,1,13,6
"105",1,38,98,266,1,1,1,2,2,84,NA,2,14,5
"106",1,38,98,266,1,1,1,2,2,84,NA,2,15,12
"107",1,38,98,266,1,1,1,2,2,84,NA,2,16,15
"108",1,38,98,266,1,1,1,2,2,84,NA,2,17,90
"109",1,38,98,266,1,1,1,2,2,84,NA,2,18,10
"110",1,38,98,266,1,1,1,2,2,84,NA,2,19,86
"111",1,38,98,266,1,1,1,2,2,84,NA,1,19,32
"112",1,38,98,266,1,1,1,2,2,84,NA,2,20,11
"113",1,38,98,267,2,1,1,2,4,84,NA,2,13,2
"114",1,38,98,267,2,1,1,2,4,84,NA,1,15,1
"115",1,38,98,267,2,1,1,2,4,84,NA,1,17,3
"116",1,38,98,267,2,1,1,2,4,84,NA,2,18,2
"117",1,38,98,267,2,1,1,2,3,56,NA,2,12,2
"118",1,38,98,267,2,1,1,2,3,56,NA,2,9,1
"119",1,38,98,267,2,1,1,2,3,56,NA,2,7,5
"120",1,38,98,267,2,1,1,2,3,56,NA,1,9,1
"121",1,38,98,267,2,1,1,2,3,56,NA,1,8,5
"122",1,38,98,267,2,1,1,2,2,84,NA,1,20,30
"123",1,38,98,267,2,1,1,2,2,84,NA,2,20,12
"124",1,38,98,267,2,1,1,2,2,84,NA,1,19,6
"125",1,38,98,267,2,1,1,2,2,84,NA,2,19,8
"126",1,38,98,267,2,1,1,2,2,84,NA,2,18,55
"127",1,38,98,267,2,1,1,2,2,84,NA,2,17,6
"128",1,38,98,267,2,1,1,2,2,84,NA,1,16,12
"129",1,38,98,267,2,1,1,2,2,84,NA,1,15,20
"130",1,38,98,267,2,1,1,2,2,84,NA,2,14,45
"131",1,38,98,267,2,1,1,2,2,84,NA,2,13,86
"132",1,38,98,267,2,1,1,2,2,84,NA,1,13,12
"133",1,38,98,267,2,1,1,2,2,84,NA,1,12,80
"134",1,38,98,267,2,1,1,2,2,84,NA,2,12,15
"135",1,38,98,267,2,1,1,2,2,84,NA,2,11,16
"136",1,38,98,267,2,1,1,2,2,84,NA,2,10,4
"137",1,38,98,267,2,1,1,2,2,84,NA,1,10,5
"138",1,38,98,267,2,1,1,2,2,84,NA,2,9,2
"139",1,38,98,267,2,1,1,2,2,84,NA,1,9,6
"140",1,38,98,267,2,1,1,2,2,84,NA,1,8,4
"141",1,38,98,267,2,1,1,2,2,84,NA,2,7,14
"142",1,38,98,267,2,1,1,2,2,84,NA,2,6,36
"143",1,38,98,267,2,1,1,2,2,84,NA,2,5,90
"144",1,38,98,267,2,1,1,2,2,84,NA,1,5,5
"145",1,38,98,267,2,1,1,2,2,84,NA,2,4,13
"146",1,38,98,267,2,1,1,2,2,84,NA,1,3,2
"147",1,38,98,267,2,1,1,2,2,84,NA,1,2,80
"148",1,38,98,267,2,1,1,2,2,84,NA,2,2,26
"149",1,38,98,267,2,1,1,2,2,84,NA,2,1,16
"150",1,38,98,267,2,1,1,2,2,84,NA,1,1,5
"151",1,192,98,265,1,1,1,1,1,42,NA,7,6,19
"152",1,192,98,265,1,1,1,1,1,42,NA,7,5,38
"153",1,192,98,265,1,1,1,1,1,42,NA,7,3,12
"154",1,192,98,265,1,1,1,1,1,42,NA,7,2,8
"155",1,192,98,265,1,1,1,1,1,42,NA,7,1,12
"156",1,192,98,265,1,1,1,1,1,42,NA,6,1,55
"157",1,192,98,265,1,1,1,1,1,42,NA,6,2,75
"158",1,192,98,265,1,1,1,1,1,42,NA,5,5,10
"159",1,192,98,265,1,1,1,1,1,42,NA,5,6,18
"160",1,192,98,265,1,1,1,1,1,42,NA,4,6,5
"161",1,192,98,265,1,1,1,1,1,42,NA,4,5,8
"162",1,192,98,265,1,1,1,1,1,42,NA,4,4,6
"163",1,192,98,265,1,1,1,1,1,42,NA,3,5,80
"164",1,192,98,265,1,1,1,1,1,42,NA,2,6,3
"165",1,192,98,265,1,1,1,1,1,42,NA,1,6,4
"166",1,192,98,265,1,1,1,1,1,42,NA,1,1,3
"167",1,192,98,266,2,1,1,1,1,42,NA,7,6,10
"168",1,192,98,266,2,1,1,1,1,42,NA,7,5,100
"169",1,192,98,266,2,1,1,1,1,42,NA,7,5,86
"170",1,192,98,266,2,1,1,1,1,42,NA,7,4,70
"171",1,192,98,266,2,1,1,1,1,42,NA,7,3,85
"172",1,192,98,266,2,1,1,1,1,42,NA,7,2,55
"173",1,192,98,266,2,1,1,1,1,42,NA,7,1,100
"174",1,192,98,266,2,1,1,1,1,42,NA,6,1,44
"175",1,192,98,266,2,1,1,1,1,42,NA,6,2,13
"176",1,192,98,266,2,1,1,1,1,42,NA,6,3,12
"177",1,192,98,266,2,1,1,1,1,42,NA,6,6,24
"178",1,192,98,266,2,1,1,1,1,42,NA,5,6,20
"179",1,192,98,266,2,1,1,1,1,42,NA,5,4,39
"180",1,192,98,266,2,1,1,1,1,42,NA,5,5,60
"181",1,192,98,266,2,1,1,1,1,42,NA,5,1,90
"182",1,192,98,266,2,1,1,1,1,42,NA,4,5,6
"183",1,192,98,266,2,1,1,1,1,42,NA,4,4,23
"184",1,192,98,266,2,1,1,1,1,42,NA,4,3,8
"185",1,192,98,266,2,1,1,1,1,42,NA,4,2,75
"186",1,192,98,266,2,1,1,1,1,42,NA,4,6,15
"187",1,192,98,266,2,1,1,1,1,42,NA,3,6,48
"188",1,192,98,266,2,1,1,1,1,42,NA,3,3,12
"189",1,192,98,266,2,1,1,1,1,42,NA,3,2,4
"190",1,192,98,266,2,1,1,1,1,42,NA,3,1,85
"191",1,192,98,266,2,1,1,1,1,42,NA,2,1,4
"192",1,192,98,266,2,1,1,1,1,42,NA,2,2,65
"193",1,192,98,266,2,1,1,1,1,42,NA,2,3,49
"194",1,192,98,266,2,1,1,1,1,42,NA,2,4,38
"195",1,192,98,266,2,1,1,1,1,42,NA,2,5,98
"196",1,192,98,266,2,1,1,1,1,42,NA,2,6,77
"197",1,192,98,266,2,1,1,1,1,42,NA,1,1,86
"198",1,192,98,266,2,1,1,1,1,42,NA,1,2,80
"199",1,192,98,266,2,1,1,1,1,42,NA,1,3,71
"200",1,192,98,266,2,1,1,1,1,42,NA,1,4,65
"201",1,192,98,266,2,1,1,1,1,42,NA,1,5,95
"202",1,192,98,266,2,1,1,1,1,42,NA,1,6,100
"203",1,192,98,266,2,2,1,2,2,80,NA,1,20,10
"204",1,192,98,266,2,2,1,2,2,80,NA,2,20,5
"205",1,192,98,266,2,2,1,2,2,80,NA,2,19,5
"206",1,192,98,266,2,2,1,2,2,80,NA,1,19,5
"207",1,192,98,266,2,2,1,2,2,80,NA,1,18,15
"208",1,192,98,266,2,2,1,2,2,80,NA,2,11,5
"209",1,192,98,266,2,2,1,2,2,80,NA,2,2,6
"210",1,192,98,266,2,2,1,2,2,80,NA,1,1,5
"211",1,192,98,265,1,2,1,2,2,80,NA,2,20,5
