region,year,month,time,rain.1.0,ptraps,aptraps,r,mf.breeding,mf.pregnant,pop.mature,pad.male
central_downs,1972,1,1972.04,98.3,,,,,,,
central_downs,1972,2,1972.13,35.4,,,,,,,
central_downs,1972,3,1972.21,31.9,,,,,,,
central_downs,1972,4,1972.29,19.6,,,,,,,
central_downs,1972,5,1972.38,16.2,,,,,,,
central_downs,1972,6,1972.46,6.6,,,,,,,
central_downs,1972,7,1972.54,0,,,,,,,
central_downs,1972,8,1972.63,29.8,,,,,,,
central_downs,1972,9,1972.71,16.8,,,,,,,
central_downs,1972,10,1972.79,254.8,,,,,,,
central_downs,1972,11,1972.88,89.6,,,,,,,
central_downs,1972,12,1972.96,108.7,,,,,,,
central_downs,1973,1,1973.04,93.7,,,,,,,
central_downs,1973,2,1973.13,66.3,,,,,,,
central_downs,1973,3,1973.21,27,,,,,,,
central_downs,1973,4,1973.29,0,,,,,,,
central_downs,1973,5,1973.38,23.4,,,,,,,
central_downs,1973,6,1973.46,8.3,,,,,,,
central_downs,1973,7,1973.54,70.1,,,,,,,
central_downs,1973,8,1973.63,42.7,,,,,,,
central_downs,1973,9,1973.71,67.4,,,,,,,
central_downs,1973,10,1973.79,51.2,,,,,,,
central_downs,1973,11,1973.88,64.2,,,,,,,
central_downs,1973,12,1973.96,106.6,,,,,,,
central_downs,1974,1,1974.04,206.9,,,,,,,
central_downs,1974,2,1974.13,4.5,,,,,,,
central_downs,1974,3,1974.21,10.3,,,,,,,
central_downs,1974,4,1974.29,4.5,29.2,34.5,,,,,
central_downs,1974,5,1974.38,60.3,24.7,28.4,,,,,
central_downs,1974,6,1974.46,31.1,20.3,22.7,,,,,
central_downs,1974,7,1974.54,0,15.8,17.2,,,,,
central_downs,1974,8,1974.63,29.4,4.2,4.3,,,,,
central_downs,1974,9,1974.71,56.6,1.4,1.4,,,,,
central_downs,1974,10,1974.79,92.3,1.4,1.4,,,,,
central_downs,1974,11,1974.88,132,0,0,,,,,
central_downs,1974,12,1974.96,81.4,0,0,,,,,
central_downs,1975,1,1975.04,70.6,,,,,,,
central_downs,1975,2,1975.13,79.9,,,,,,,
central_downs,1975,3,1975.21,55.9,,,,,,,
central_downs,1975,4,1975.29,25,,,,,,,
central_downs,1975,5,1975.38,3.1,,,,,,,
central_downs,1975,6,1975.46,54,,,,,,,
central_downs,1975,7,1975.54,51.9,,,,,,,
central_downs,1975,8,1975.63,30.5,,,,,,,
central_downs,1975,9,1975.71,44.1,,,,,,,
central_downs,1975,10,1975.79,167.1,,,,,,,
central_downs,1975,11,1975.88,64.9,,,,,,,
central_downs,1975,12,1975.96,141.3,,,,,,,
central_downs,1976,1,1976.04,43.8,,,,,,,
central_downs,1976,2,1976.13,134.5,,,,,,,
central_downs,1976,3,1976.21,33.6,11.2,11.9,,,,,
central_downs,1976,4,1976.29,6.7,8.5,8.9,,,,,
central_downs,1976,5,1976.38,52.5,7.3,7.6,,,,,
central_downs,1976,6,1976.46,29.7,5.8,6,,,,,
central_downs,1976,7,1976.54,49.9,5.6,5.8,,,,,
central_downs,1976,8,1976.63,1,5.5,5.7,,,,,
central_downs,1976,9,1976.71,93.6,3.5,3.6,,,,,
central_downs,1976,10,1976.79,50.2,4.2,4.3,,,,,
central_downs,1976,11,1976.88,143.9,1.7,1.7,,,,,
central_downs,1976,12,1976.96,15.3,,,,,,,
central_downs,1977,1,1977.04,56.5,,,,,,,
central_downs,1977,2,1977.13,57.7,5,5.1,,,,,
central_downs,1977,3,1977.21,120.5,11.4,12.1,,,,,
central_downs,1977,4,1977.29,32.9,5.1,5.2,,,,,
central_downs,1977,5,1977.38,75.6,5.8,6,,,,,
central_downs,1977,6,1977.46,9.2,3.2,3.3,,,,,
central_downs,1977,7,1977.54,0,4.5,4.6,,,,,
central_downs,1977,8,1977.63,8.1,2.4,2.4,,,,,
central_downs,1977,9,1977.71,3.1,1.2,1.2,,,,,
central_downs,1977,10,1977.79,32.2,1.6,1.6,,,,,
central_downs,1977,11,1977.88,138.7,1.9,1.9,,,,,
central_downs,1977,12,1977.96,19.5,4.7,4.8,,,,,
central_downs,1978,1,1978.04,118.1,6.4,6.6,,,,,
central_downs,1978,2,1978.13,32.7,9.2,9.7,,,,,
central_downs,1978,3,1978.21,60.4,7.6,7.9,,,,,
central_downs,1978,4,1978.29,59.9,16.7,18.3,,,,,
central_downs,1978,5,1978.38,35.8,23,26.1,,,,,
central_downs,1978,6,1978.46,54.9,16.4,17.9,,,,,
central_downs,1978,7,1978.54,72,6.2,6.4,,,,,
central_downs,1978,8,1978.63,75.7,11.3,12,,,,,
central_downs,1978,9,1978.71,78.7,1,1,,,,,
central_downs,1978,10,1978.79,51.5,0.3,0.3,,,,,
central_downs,1978,11,1978.88,120.4,0.3,0.3,,,,,
central_downs,1978,12,1978.96,104.2,0.9,0.9,,,,,
central_downs,1979,1,1979.04,43.3,,,,,,,
central_downs,1979,2,1979.13,51.8,2.7,2.7,,,,,
central_downs,1979,3,1979.21,120.7,7.8,8.1,,,,,
central_downs,1979,4,1979.29,22.9,6.1,6.3,,,,,
central_downs,1979,5,1979.38,34.1,13.7,14.7,,,,,
central_downs,1979,6,1979.46,84,14.8,16,,,,,
central_downs,1979,7,1979.54,25,14.9,16.1,,,,,
central_downs,1979,8,1979.63,9.5,9.4,9.9,,,,,
central_downs,1979,9,1979.71,14.1,10.2,10.8,,,,,
central_downs,1979,10,1979.79,41.2,5.5,5.7,,,,,
central_downs,1979,11,1979.88,121.7,0.7,0.7,,,,,
central_downs,1979,12,1979.96,62.6,10.7,11.3,,,,,
central_downs,1980,1,1980.04,66.9,9.1,9.5,,,,,
central_downs,1980,2,1980.13,54.4,7.8,8.1,,,,,
central_downs,1980,3,1980.21,7.3,13.3,14.3,,,,,
central_downs,1980,4,1980.29,0,29.3,34.7,,,,,
central_downs,1980,5,1980.38,57.2,26.7,31.1,,,,,
central_downs,1980,6,1980.46,3,33.7,41.1,,,,,
central_downs,1980,7,1980.54,33.1,14.3,15.4,,,,,
central_downs,1980,8,1980.63,19.3,7.5,7.8,,,,,
central_downs,1980,9,1980.71,0,1.2,1.2,,,,,
central_downs,1980,10,1980.79,90.8,0.2,0.2,,,,,
central_downs,1980,11,1980.88,22,0.1,0.1,,,,,
central_downs,1980,12,1980.96,148.1,0,0,,,,,
central_downs,1981,1,1981.04,22.5,0,0,,,,,
central_downs,1981,2,1981.13,195.4,0,0,,,,,
central_downs,1981,3,1981.21,25.7,0.8,0.8,,,,,
central_downs,1981,4,1981.29,126.5,1.5,1.5,,,,,
central_downs,1981,5,1981.38,44,3.1,3.1,,,,,
central_downs,1981,6,1981.46,42.9,3.3,3.4,,,,,
central_downs,1981,7,1981.54,55.3,4.2,4.3,,,,,
central_downs,1981,8,1981.63,28.5,2.8,2.8,,,,,
central_downs,1981,9,1981.71,5.3,1.7,1.7,,,,,
central_downs,1981,10,1981.79,22.1,1,1,,,,,
central_downs,1981,11,1981.88,94.5,4,4.1,,,,,
central_downs,1981,12,1981.96,150.1,5.4,5.6,,,,,
central_downs,1982,1,1982.04,30,6.7,6.9,,,,,
central_downs,1982,2,1982.13,28.2,17.7,19.5,,,,,
central_downs,1982,3,1982.21,60.2,16.5,18,,,,,
central_downs,1982,4,1982.29,36.2,17.2,18.9,,,,,
central_downs,1982,5,1982.38,17.4,23.2,26.4,,,,,
central_downs,1982,6,1982.46,0,23.1,26.3,,,,,
central_downs,1982,7,1982.54,15.5,19.4,21.6,,,,,
central_downs,1982,8,1982.63,13.2,15.8,17.2,,,,,
central_downs,1982,9,1982.71,31.2,1.6,1.6,,,,,
