Town,Farm,Period,date,GLM,n_mice,month,year,TN
Walpeup,MRS,OLD,5/02/1983,1,14,2,1983,336
Walpeup,MRS,OLD,5/02/1983,2,1,2,1983,180
Walpeup,MRS,OLD,2/03/1983,1,5,3,1983,384
Walpeup,MRS,OLD,2/03/1983,2,2,3,1983,340
Walpeup,MRS,OLD,13/04/1983,1,10,4,1983,192
Walpeup,MRS,OLD,13/04/1983,2,14,4,1983,180
Walpeup,MRS,OLD,23/05/1983,1,2,5,1983,480
Walpeup,MRS,OLD,23/05/1983,2,8,5,1983,255
Walpeup,MRS,OLD,5/07/1983,1,2,7,1983,528
Walpeup,MRS,OLD,5/07/1983,2,3,7,1983,270
Walpeup,MRS,OLD,15/08/1983,1,17,8,1983,576
Walpeup,MRS,OLD,15/08/1983,2,5,8,1983,280
Walpeup,MRS,OLD,27/09/1983,1,25,9,1983,576
Walpeup,MRS,OLD,27/09/1983,2,9,9,1983,292
Walpeup,MRS,OLD,31/10/1983,1,32,10,1983,576
Walpeup,MRS,OLD,31/10/1983,2,11,10,1983,300
Walpeup,MRS,OLD,13/12/1983,1,34,12,1983,480
Walpeup,MRS,OLD,13/12/1983,2,21,12,1983,300
Walpeup,MRS,OLD,17/01/1984,1,59,1,1984,574
Walpeup,MRS,OLD,17/01/1984,2,31,1,1984,300
Walpeup,MRS,OLD,8/02/1984,1,77,2,1984,576
Walpeup,MRS,OLD,8/02/1984,2,104,2,1984,300
Walpeup,MRS,OLD,27/02/1984,1,177,2,1984,576
Walpeup,MRS,OLD,27/02/1984,2,88,2,1984,300
Walpeup,MRS,OLD,23/03/1984,1,98,3,1984,432
Walpeup,MRS,OLD,23/03/1984,2,144,3,1984,180
Walpeup,MRS,OLD,8/04/1984,1,242,4,1984,416
Walpeup,MRS,OLD,8/04/1984,2,115,4,1984,194
Walpeup,MRS,OLD,25/05/1984,1,122,5,1984,141
Walpeup,MRS,OLD,25/05/1984,2,96,5,1984,119
Walpeup,MRS,OLD,16/06/1984,1,43,6,1984,192
Walpeup,MRS,OLD,16/06/1984,2,188,6,1984,210
Walpeup,MRS,OLD,28/06/1984,1,121,6,1984,148
Walpeup,MRS,OLD,28/06/1984,2,161,6,1984,195
Walpeup,MRS,OLD,22/07/1984,1,157,7,1984,240
Walpeup,MRS,OLD,22/07/1984,2,276,7,1984,420
Walpeup,MRS,OLD,7/08/1984,1,528,8,1984,576
Walpeup,MRS,OLD,7/08/1984,2,200,8,1984,180
Walpeup,MRS,OLD,18/09/1984,1,57,9,1984,399
Walpeup,MRS,OLD,18/09/1984,2,53,9,1984,135
Walpeup,MRS,OLD,3/10/1984,1,23,10,1984,432
Walpeup,MRS,OLD,3/10/1984,2,33,10,1984,315
Walpeup,MRS,OLD,26/10/1984,1,9,10,1984,144
Walpeup,MRS,OLD,26/10/1984,2,4,10,1984,150
Walpeup,MRS,OLD,20/11/1984,1,7,11,1984,576
Walpeup,MRS,OLD,20/11/1984,2,5,11,1984,200
Walpeup,MRS,OLD,15/12/1984,1,9,12,1984,573
Walpeup,MRS,OLD,15/12/1984,2,10,12,1984,150
Walpeup,MRS,OLD,8/01/1985,1,10,1,1985,432
Walpeup,MRS,OLD,8/01/1985,2,23,1,1985,150
Walpeup,MRS,OLD,31/01/1985,1,9,1,1985,432
Walpeup,MRS,OLD,31/01/1985,2,10,1,1985,150
Walpeup,MRS,OLD,20/02/1985,1,3,2,1985,144
Walpeup,MRS,OLD,20/02/1985,2,22,2,1985,210
